gene_id	cell_cluster_0	cell_cluster_1	cell_cluster_2	cell_cluster_3	cell_cluster_4	cell_cluster_5	cell_cluster_6	cell_cluster_7	cell_cluster_8	cell_cluster_9	cell_cluster_10	cell_cluster_11	cell_cluster_12
33	Hvul-g10050-1	-0.00674848985845337	0.0176597318845225	-0.00236342799239905	0.00233226996102377	-0.00311849218528663	-0.00729999216672335	-0.0162495452264231	0.0249607056608645	-0.00691694240672084	-0.00761399970611465	-0.009266338502908	-0.00831877228527785	-0.0157784577530118
34	Hvul-g10051-1	-0.692490597049956	0.255496328935725	-0.501303870622495	0.905798318475664	-0.471908097280866	-0.593670925224513	1.22032268403555	-0.596666799633079	-0.552988983107508	1.48556993805358	-0.571407270964528	-0.495851576820589	-0.553386945764199
35	Hvul-g10055-1	-0.599577929654775	0.365695118875799	-0.553681905563925	-0.473017666822918	-0.43880378390255	-0.078016694089894	2.03106358848574	-0.504349369783798	-0.14724262953167	1.03174630783256	-0.504087916359642	-0.458156942290596	-0.348298018903338
36	Hvul-g10056-1	-0.0291310535184815	-0.0187743762731627	0.0818400059228356	-0.00663079615741637	0.0156566291068398	-0.0236277506283904	-0.0234552077918855	-0.0234068121222154	-0.0207678048917454	-0.0229237575592336	-0.0228569325047341	-0.0228334401172324	0.091371415913654
37	Hvul-g10057-1	-0.00639851689922507	-0.00977646967843607	0.012236795859429	-0.013369011574756	0.0291235640350596	-0.00563333409695044	0.0180951160438229	-0.00878668753686531	-0.0150421299694597	0.0251167906392023	0.00943893934860793	-0.0122265408017198	0.00663104884233458
38	Hvul-g1006-1	-0.000455657549491325	-0.00380100469919949	-0.00577253397875084	-0.00557132637003227	0.00101860457163251	0.0427529334236278	-0.00529460239774795	-0.00528360920492748	0.0159385470117516	-0.0051738978170112	-0.00515872274110099	-0.00515338806324037	-0.00514054136211877
39	Hvul-g10065-1	-0.00636000714409396	-0.0111596389874269	0.0260193943919646	-0.0146328339858745	0.0105857816570522	-0.0106391881824124	-0.0210140252746123	-0.00166096872997141	0.0482950180111577	-0.0205374946764361	-0.0158820522787005	-0.0204565123688811	0.0584271598963419
40	Hvul-g10066-1	-0.029513301652617	-0.0340252675243567	0.0726446908869794	-0.0306328526559353	0.0944687555789941	-0.0161967529746208	-0.0395614991089849	-0.013263703473988	0.0096353926258743	-0.013250494828969	-0.00219822559757362	-0.0523593014639481	0.0794986588421655
41	Hvul-g10068-1	0.160541024024467	-0.266760878265563	0.163112139482884	-0.10767410601712	0.423321890730717	-0.216838562486929	-0.240468553401923	-0.106138727955929	-0.212705039838239	-0.23540100142161	-0.222172689639321	0.346289855437129	-0.0773688795441461
42	Hvul-g10070-1	0.272947236097287	-0.116679029405406	-0.0596500964168076	-0.102557253924705	-0.0702885385936428	-0.103197444435841	-0.0643891943042841	-0.078594826531015	-0.0842023456052619	-0.103704707285193	-0.103410660544953	0.182942801804328	0.0162623857664508
43	Hvul-g10075-1	-0.00153175486121085	7.26733122566911e-05	0.00245335289131699	-0.00155299693857047	-0.00149732954530171	-0.000924086098612254	-0.00147575852812273	0.0099838592707973	-0.00145441887458305	-0.00144207115299374	-0.00143783609317588	-0.00143634729903671	-0.0014327620766568
44	Hvul-g10076-1	0.087870093894688	-0.0344290481440247	-0.0188626026720504	-0.0312832465268364	-0.0249604802167277	-0.0293490498438582	-0.012218738017293	-0.0286861455589501	-0.0293165548189718	-0.0245169669790878	-0.0289854679725116	0.0425677031898034	0.00875475010085067
45	Hvul-g10077-1	-0.540742411531886	0.670945152930861	-0.565881277012371	0.475503960082873	-0.42340466772283	-0.260538262967004	0.485671358676068	-0.161676352083712	-0.0858270227796283	0.16789068906634	0.874732643423387	-0.586703357476224	-0.502308526039792
